,BIST100_Value_mean,BIST100_Volume_mean,GNP(TRY),Inflation(%),Deposit_Interest(TRY),Deposit_Interest(USD),Deposit_Interest(EUR),VIX,Google_Trends,Annualized_Volatility,Volatility_Level
2017-02-28,881.1516992187501,817105685.0,654453583.455393,0.81,9.835,2.45,1.125,12.920000076293945,3,0.12113941525376727,0
2017-03-31,898.4982642663044,715800082.6086956,654453583.455393,1.02,10.044,2.386,1.126,12.369999885559082,3,0.1287685427413356,0
2017-04-30,912.8601445312501,733177320.0,740272382.404715,1.31,10.68,2.5125,1.2175,10.819999694824219,3,0.0986701633222399,0
2017-05-31,958.8383779761905,880738261.9047619,740272382.404715,0.45,11.3375,2.665,1.2175,10.40999984741211,3,0.10477805069229233,0
2017-06-30,990.77630078125,800823455.0,740272382.404715,-0.27,11.836,2.728,1.308,11.180000305175781,2,0.07492771359234063,0
2017-07-31,1046.7490029761905,829195780.9523809,839912109.575585,0.15,11.89,2.76,1.24,10.260000228881836,3,0.0945210344452159,0
2017-08-31,1083.8433132102273,1010438918.1818181,839912109.575585,0.52,11.915,2.7975,1.2675,10.59000015258789,2,0.04914304016077614,0
2017-09-30,1061.7291652960528,946643352.6315789,839912109.575585,0.65,11.878,2.784,1.262,9.510000228881836,3,0.09341500508139113,0
2017-10-31,1061.6048579545457,876205436.3636364,899066191.929285,2.08,11.934999999999999,2.76,1.2425,10.180000305175781,3,0.13093524440513946,0
2017-11-30,1078.4743146306819,1116092581.8181818,899066191.929285,1.49,12.07,2.7925,1.22,11.279999732971191,3,0.0939998263708042,0
2017-12-31,1093.64175390625,884022660.0,899066191.929285,0.69,12.356,2.8760000000000003,1.252,11.039999961853027,3,0.06772910054862914,0
2018-01-31,1167.920955255682,1320397172.7272727,796936676.320422,1.02,12.305,2.8925,1.245,13.539999961853027,3,0.09797157065524861,0
2018-02-28,1162.486546875,948874810.0,796936676.320422,0.73,12.4375,2.9175,1.2650000000000001,19.850000381469727,3,0.06816821384124315,0
2018-03-31,1166.7852663352273,1047615277.2727273,796936676.320422,0.99,12.552000000000001,2.942,1.262,19.969999313354492,3,0.07082915122468524,0
2018-04-30,1108.30835546875,1068514500.0,898704143.1755809,1.87,12.625,2.9625,1.2650000000000001,15.930000305175781,3,0.13012499158219967,0
2018-05-31,1024.9097762784093,1007685540.9090909,898704143.1755809,1.62,12.9225,3.0300000000000002,1.2775,15.430000305175781,4,0.2937014354030032,1
2018-06-30,958.73755078125,974598555.0,898704143.1755809,2.61,15.094,3.166,1.304,16.09000015258789,3,0.17066923159803227,1
2018-07-31,946.2768643465909,1256114495.4545455,1037544977.649,0.55,16.365000000000002,3.33,1.375,12.829999923706055,4,0.1948041005014274,1
2018-08-31,933.5462803819444,1377037200.0,1037544977.649,2.3,17.218,3.5200000000000005,1.45,12.859999656677246,5,0.7838345243109195,1
2018-09-30,954.8095507812501,1318785155.0,1037544977.649,6.3,22.627499999999998,4.8325,1.9625,12.119999885559082,5,0.2615863523526873,1
2018-10-31,953.3003657670455,1318078663.6363637,1027979760.133309,2.67,24.11,4.6875,2.155,21.229999542236328,4,0.18919147723101118,1
2018-11-30,936.3946803977273,1216935540.909091,1027979760.133309,-1.44,23.166,4.138,1.8,18.06999969482422,4,0.14517226228298333,0
2018-12-31,918.9298476562501,960324130.0,1027979760.133309,-0.4,22.245,3.7775,1.5925,25.420000076293945,3,0.12392923841781042,0
2019-01-31,959.4067649147728,1270485227.2727273,926068432.933273,1.06,21.1475,3.545,1.42,16.56999969482422,3,0.15929384381709005,1
2019-02-28,1029.65669921875,1319914685.0,926068432.933273,0.16,20.04,3.2125,1.2125,14.779999732971191,3,0.0763902227076203,0
2019-03-31,1009.2583816964285,1473150780.952381,926068432.933273,1.03,19.654,3.002,1.1,13.710000038146973,4,0.22583951806851815,1
2019-04-30,961.263474702381,1062006776.1904762,1030610719.14171,1.69,20.54,2.9825,1.0425,13.119999885559082,4,0.11031525743729566,0
2019-05-31,882.8650426136363,1105267322.7272727,1030610719.14171,0.95,22.296,2.902,0.974,18.709999084472656,4,0.1400300697218637,0
2019-06-30,936.0961810661765,1134685564.7058823,1030610719.14171,0.03,22.62,2.84,0.8525,15.079999923706055,4,0.12498901463277806,0
2019-07-31,1004.6772301136364,1241701086.3636363,1158054737.798259,1.36,21.4725,2.77,0.8375,16.1200008392334,4,0.12369829509061958,0
2019-08-31,974.4231640625001,1071875144.4444444,1158054737.798259,0.86,17.880000000000003,2.55,0.6859999999999999,18.979999542236328,4,0.1345145643954275,0
2019-09-30,1013.7741889880953,1576756361.9047618,1158054737.798259,0.99,15.387500000000001,2.3075,0.4925,16.239999771118164,4,0.104035689178885,0
2019-10-31,993.2666832386363,1497740368.1818182,1203075934.052469,2.0,13.51,2.0875,0.37,13.220000267028809,4,0.12275602036346567,0
2019-11-30,1044.6618229166666,1716654095.2380953,1203075934.052469,0.38,11.776,1.904,0.274,12.619999885559082,3,0.05530682388372947,0
2019-12-31,1105.5850520833333,2273051880.952381,1203075934.052469,0.74,10.57,1.7525,0.22,13.779999732971191,3,0.05557995801944974,0
2020-01-31,1191.1279119318183,2557165981.818182,1070119166.036069,1.35,9.636,1.3679999999999999,0.16799999999999998,18.84000015258789,3,0.0626556072146949,0
2020-02-29,1179.3246484375,2445268505.0,1070119166.036069,0.35,9.2875,1.1675,0.14250000000000002,40.11000061035156,3,0.03899834277957221,0
2020-03-31,953.0457741477272,1853529918.1818182,1070119166.036069,0.57,9.3575,0.9550000000000001,0.13,53.540000915527344,4,0.15308548801842684,1
2020-04-30,962.637853422619,2266534523.8095236,1037559225.62579,0.85,9.19,1.095,0.17250000000000001,34.150001525878906,3,0.08566206466790094,0
2020-05-31,1008.5712362132354,2262338905.882353,1037559225.62579,1.36,7.653999999999999,0.754,0.182,27.510000228881836,4,0.12369952454614981,0
2020-06-30,1116.0782670454546,3494815018.181818,1037559225.62579,1.13,7.3825,0.7625,0.2175,30.43000030517578,3,0.03874735316141167,0
2020-07-31,1173.128142671131,4363136976.190476,1415738684.8615,0.58,7.343999999999999,0.768,0.22999999999999998,24.459999084472656,3,0.03575325586228947,0
2020-08-31,1094.2849975585937,3876504665.0,1415738684.8615,0.86,8.975,0.9775,0.3575,26.40999984741211,4,0.1352826679951152,0
2020-09-30,1103.9681673916903,3091607954.5454545,1415738684.8615,0.97,10.2875,1.2375,0.45499999999999996,26.3700008392334,4,0.106519030452663,0
2020-10-31,1168.557140531994,4200879452.3809524,1525150868.441159,2.13,11.040000000000001,1.332,0.548,38.02000045776367,4,0.10846573972321676,0
2020-11-30,1263.8476097470239,5773006390.476191,1525150868.441159,2.3,13.08,1.47,0.65,20.56999969482422,5,0.2582718790953089,1
2020-12-31,1387.7136452414773,4760130781.818182,1525150868.441159,1.25,15.094999999999999,1.4925,0.7375,22.75,4,0.09546531743553785,0
2021-01-31,1528.4849975585937,5224299100.0,1396395793.89607,1.68,16.36,1.486,0.704,33.09000015258789,4,0.11321930846591131,0
2021-02-28,1528.6700012207032,4405730785.0,1396395793.89607,0.91,16.2175,1.1275,0.4325,27.950000762939453,4,0.12232513191574425,0
